Strain	Clade	Old Nextstrain clade
Chile/Temuco_5/2020	20A	A2a
Chile/Temuco_8/2020	20A	A2a
Chile/Santiago_31/2020	20A	A2a
Chile/Santiago_37/2020	20A	A2a
Chile/Santiago_61/2020	20A	A2a
Chile/Santiago_67/2020	20A	A2a
Chile/EstacionCentral/2020-26347	20A	A2a
Chile/Santiago_64/2020	20A	A2a
Chile/Santiago_81/2020	20A	A2a
Chile/Santiago_49/2020	20A	A2a
Chile/Santiago_72/2020	20A	A2a
Chile/EstacionCentral/2020-0000D	20A	A2a
Chile/Puerto_Montt_3/2020	20A	A2a
Chile/Temuco_2/2020	20A	A2a
Chile/Temuco_4/2020	20A	A2a
Chile/Santiago_58/2020	20A	A2a
Chile/Temuco_6/2020	20A	A2a
Chile/Temuco_12/2020	20A	A2a
Chile/Temuco_11/2020	20A	A2a
Chile/Temuco_3/2020	20A	A2a
Chile/Punta_Arenas_8/2020	20A	A2a
Chile/PuenteAlto/2020-0000F	20A	A2a
Chile/Rancagua_7/2020	20A	A2a
Chile/Punta_Arenas_16/2020	20A	A2a
